political_;moral_circ
izquierda;indiv_familiar
centro;ecocentrico_extendido
derecha;antropocentrico
derecha;cercano_amistad
izquierda;ecocentrico_extendido
centro;ecocentrico_extendido
centro;ecocentrico_extendido
centro;biocentrico_animal
centro;ecocentrico_extendido
izquierda;ecocentrico_extendido
derecha;cercano_amistad
izquierda;ecocentrico_extendido
derecha;ecocentrico_extendido
centro;biocentrico_animal
centro;indiv_familiar
centro;indiv_familiar
derecha;indiv_familiar
centro;cercano_amistad
centro;cercano_amistad
centro;indiv_familiar
centro;indiv_familiar
centro;antropocentrico
centro;biocentrico_animal
izquierda;ecocentrico_extendido
izquierda;ecocentrico_extendido
derecha;indiv_familiar
izquierda;cercano_amistad
derecha;ecocentrico_extendido
izquierda;antropocentrico
izquierda;ecocentrico_extendido
centro;ecocentrico_extendido
centro;ecocentrico_extendido
centro;ecocentrico_extendido
centro;ecocentrico_extendido
derecha;ecocentrico_extendido
izquierda;biocentrico_animal
centro;biocentrico_animal
izquierda;indiv_familiar
izquierda;indiv_familiar
derecha;indiv_familiar
centro;biocentrico_animal
derecha;antropocentrico
derecha;antropocentrico
izquierda;cercano_amistad
derecha;ecocentrico_extendido
centro;cercano_amistad
centro;antropocentrico
centro;cercano_amistad
centro;cercano_amistad
izquierda;biocentrico_animal
izquierda;ecocentrico_extendido
izquierda;biocentrico_animal
derecha;antropocentrico
derecha;ecocentrico_extendido
centro;ecocentrico_extendido
derecha;indiv_familiar
centro;biocentrico_animal
centro;ecocentrico_extendido
centro;ecocentrico_extendido
izquierda;cercano_amistad
centro;biocentrico_animal
derecha;biocentrico_animal
centro;cercano_amistad
izquierda;antropocentrico
centro;ecocentrico_extendido
izquierda;ecocentrico_extendido
izquierda;ecocentrico_extendido
centro;cercano_amistad
izquierda;ecocentrico_extendido
izquierda;ecocentrico_extendido
izquierda;ecocentrico_extendido
izquierda;biocentrico_animal
centro;ecocentrico_extendido
centro;cercano_amistad
centro;indiv_familiar
centro;cercano_amistad
centro;ecocentrico_extendido
centro;ecocentrico_extendido
izquierda;ecocentrico_extendido
centro;indiv_familiar
