political_;moral_circ
izquierda;familiar_extendido
centro;todo_biotico
derecha;personas_mundo
derecha;todos_conocidos
izquierda;todo_existente
centro;todo_biotico
centro;todo_biotico
centro;mamiferos
centro;todo_existente
izquierda;todo_existente
derecha;todos_conocidos
izquierda;todo_existente
derecha;todo_existente
centro;animal_bact
centro;familiar_inmediato
centro;familiar_inmediato
derecha;familiar_inmediato
centro;amigos_inclu_lejano
centro;amigos_cercanos
centro;familiar_inmediato
centro;familiar_extendido
centro;personas_pais
centro;animal_cordado
izquierda;todo_existente
izquierda;todo_existente
derecha;familiar_inmediato
izquierda;amigos_inclu_lejano
derecha;todo_existente
izquierda;personas_mundo
izquierda;todo_existente
centro;todo_existente
centro;todo_existente
centro;biotico_abiotico
centro;todo_existente
derecha;todo_existente
izquierda;animal_bact
centro;mamiferos
izquierda;familiar_inmediato
izquierda;familiar_inmediato
derecha;familiar_inmediato
centro;animal_cordado
derecha;personas_mundo
derecha;personas_pais
izquierda;amigos_inclu_lejano
derecha;todo_existente
centro;amigos_cercanos
centro;personas_cruzado
centro;amigos_inclu_lejano
centro;amigos_cercanos
izquierda;animal_cordado
izquierda;todo_existente
izquierda;animal_bact
derecha;personas_mundo
derecha;todo_existente
centro;todo_existente
derecha;familiar_inmediato
centro;animal_cordado
centro;todo_biotico
centro;todo_existente
izquierda;todos_conocidos
centro;mamiferos
derecha;mamiferos
centro;amigos_cercanos
izquierda;personas_continente
centro;todo_existente
izquierda;todo_existente
izquierda;todo_existente
centro;todos_conocidos
izquierda;todo_biotico
izquierda;todo_biotico
izquierda;todo_biotico
izquierda;animal_cordado
centro;biotico_abiotico
centro;amigos_inclu_lejano
centro;familiar_inmediato
centro;todos_conocidos
centro;todo_biotico
centro;todo_existente
izquierda;todo_existente
centro;familiar_inmediato
centro;personas_mundo
centro;animal_cordado
centro;amigos_cercanos
derecha;familiar_inmediato
izquierda;personas_mundo
derecha;todo_existente
centro;amigos_cercanos
derecha;amigos_inclu_lejano
izquierda;todo_existente
centro;animal_cordado
centro;todo_existente
derecha;animal_bact
centro;todo_existente
izquierda;todos_conocidos
derecha;animal_cordado
centro;personas_mundo
centro;todo_existente
centro;amigos_inclu_lejano
centro;familiar_inmediato
derecha;biotico_abiotico
centro;todo_biotico
izquierda;animal_cordado
centro;todo_biotico
izquierda;amigos_cercanos
centro;todo_existente
centro;todo_existente
centro;animal_cordado
centro;todo_biotico
izquierda;personas_mundo
izquierda;todo_existente
izquierda;todo_existente
izquierda;amigos_inclu_lejano
centro;familiar_inmediato
centro;todos_conocidos
centro;todo_biotico
centro;todo_existente
centro;amigos_inclu_lejano
centro;todo_existente
izquierda;todo_existente
izquierda;todo_existente
izquierda;todo_existente
centro;familiar_inmediato
centro;todo_existente
centro;todo_existente
centro;todo_existente
izquierda;todo_biotico
izquierda;todo_biotico
izquierda;todo_existente
centro;todo_existente
izquierda;amigos_cercanos
derecha;todo_existente
centro;todo_biotico
izquierda;amigos_cercanos
centro;todo_existente
derecha;todos_conocidos
izquierda;familiar_inmediato
centro;todo_biotico
izquierda;todo_biotico
centro;todos_conocidos
centro;todos_conocidos
izquierda;amigos_cercanos
izquierda;amigos_inclu_lejano
centro;todo_biotico
centro;todo_existente
centro;todos_conocidos
izquierda;familiar_extendido
centro;todo_existente
centro;todo_existente
centro;amigos_cercanos
derecha;amigos_cercanos
centro;biotico_abiotico
izquierda;todo_biotico
centro;amigos_inclu_lejano
izquierda;todo_biotico
derecha;todo_existente
centro;todo_biotico
izquierda;todo_existente
derecha;todo_biotico
derecha;todo_biotico
centro;todo_biotico
izquierda;amigos_inclu_lejano
centro;todo_existente
derecha;familiar_inmediato
centro;familiar_inmediato
izquierda;todo_existente
centro;todos_conocidos
izquierda;familiar_inmediato
centro;todos_conocidos
centro;todo_existente
centro;todo_existente
izquierda;personas_pais
centro;todos_conocidos
centro;familiar_inmediato
centro;amigos_inclu_lejano
centro;todo_existente
centro;todos_conocidos
centro;personas_continente
centro;todo_existente
centro;todo_biotico
centro;todos_conocidos
derecha;todos_conocidos
izquierda;todo_existente
derecha;personas_mundo
derecha;familiar_inmediato
izquierda;familiar_extendido
centro;todo_existente
centro;familiar_inmediato
izquierda;personas_pais
centro;amigos_cercanos
izquierda;personas_pais
centro;todo_existente
centro;familiar_inmediato
derecha;amigos_cercanos
centro;animal_cordado
izquierda;personas_pais
centro;todo_existente
centro;amigos_inclu_lejano
izquierda;todo_biotico
izquierda;todo_biotico
derecha;biotico_abiotico
izquierda;familiar_inmediato
centro;animal_bact
centro;familiar_inmediato
izquierda;mamiferos
centro;mamiferos
centro;personas_mundo
derecha;todo_existente
derecha;amigos_inclu_lejano
centro;todo_existente
centro;todos_conocidos
centro;familiar_inmediato
centro;todos_conocidos
centro;animal_bact
centro;todos_conocidos
izquierda;animal_bact
izquierda;todo_existente
centro;mamiferos
centro;amigos_inclu_lejano
izquierda;todo_existente
centro;todo_biotico
centro;todo_existente
derecha;todos_conocidos
centro;familiar_inmediato
derecha;todo_biotico
izquierda;familiar_extendido
centro;todo_existente
centro;todo_biotico
centro;todo_existente
derecha;todo_biotico
izquierda;personas_mundo
centro;familiar_inmediato
izquierda;todo_existente
centro;todo_existente
centro;animal_cordado
centro;familiar_inmediato
izquierda;todo_existente
centro;todo_existente
izquierda;todo_biotico
izquierda;todo_biotico
centro;todo_existente
centro;familiar_extendido
izquierda;personas_continente
centro;animal_bact
izquierda;todo_existente
centro;todo_biotico
izquierda;familiar_extendido
centro;personas_mundo
izquierda;familiar_extendido
centro;todos_conocidos
centro;todo_biotico
izquierda;personas_pais
izquierda;personas_pais
centro;todo_existente
derecha;personas_pais
centro;todo_existente
centro;animal_bact
centro;mamiferos
derecha;familiar_inmediato
derecha;biotico_abiotico
izquierda;personas_mundo
centro;familiar_inmediato
centro;todo_existente
izquierda;mamiferos
derecha;familiar_extendido
centro;amigos_inclu_lejano
derecha;personas_mundo
izquierda;todo_existente
izquierda;todo_existente
centro;amigos_inclu_lejano
centro;todo_existente
derecha;familiar_inmediato
centro;animal_bact
centro;todo_existente
centro;todo_existente
izquierda;personas_cruzado
derecha;familiar_inmediato
centro;biotico_abiotico
izquierda;todo_biotico
izquierda;mamiferos
centro;mamiferos
centro;todos_conocidos
centro;todo_existente
centro;familiar_inmediato
izquierda;todo_existente
centro;todo_biotico
izquierda;todo_existente
izquierda;todo_existente
centro;familiar_inmediato
derecha;todo_existente
centro;todo_biotico
izquierda;animal_bact
centro;todo_existente
centro;todo_existente
centro;todo_biotico
centro;todo_existente
centro;todo_existente
centro;todo_existente
derecha;todo_existente
centro;todo_existente
centro;todo_existente
izquierda;todo_existente
derecha;todo_existente
centro;personas_mundo
derecha;todos_conocidos
derecha;todo_existente
centro;personas_mundo
centro;familiar_inmediato
centro;personas_continente
centro;todo_existente
izquierda;todo_existente
centro;todo_existente
centro;todo_existente
centro;animal_cordado
centro;todo_biotico
derecha;personas_cruzado
centro;amigos_inclu_lejano
centro;todo_biotico
izquierda;todo_biotico
centro;familiar_inmediato
centro;familiar_inmediato
centro;biotico_abiotico
centro;amigos_inclu_lejano
derecha;todo_existente
derecha;todo_existente
centro;todos_conocidos
izquierda;animal_cordado
izquierda;animal_cordado
centro;todo_existente
derecha;familiar_extendido
centro;todo_existente
centro;mamiferos
izquierda;mamiferos
izquierda;familiar_inmediato
centro;familiar_inmediato
centro;amigos_cercanos
derecha;familiar_inmediato
izquierda;todos_conocidos
centro;todo_existente
centro;animal_bact
